
0it [00:00, ?it/s]
1it [01:14, 74.45s/it]
Epoch: [1/50]	 Seen Samples: [14272/714500]	Train Loss: 9246.95286443736	Time: 0:01:14.445314: : 1it [01:14, 74.45s/it]
Epoch: [1/50]	 Seen Samples: [14272/714500]	Train Loss: 9246.95286443736	Time: 0:01:14.445314: : 2it [02:25, 72.56s/it]
Epoch: [2/50]	 Seen Samples: [28544/714500]	Train Loss: 8934.061834360986	Time: 0:01:11.235587: : 2it [02:25, 72.56s/it]
Epoch: [2/50]	 Seen Samples: [28544/714500]	Train Loss: 8934.061834360986	Time: 0:01:11.235587: : 3it [03:36, 71.78s/it]
Epoch: [3/50]	 Seen Samples: [42816/714500]	Train Loss: 8829.099885264854	Time: 0:01:10.856062: : 3it [03:36, 71.78s/it]
Epoch: [3/50]	 Seen Samples: [42816/714500]	Train Loss: 8829.099885264854	Time: 0:01:10.856062: : 4it [04:47, 71.45s/it]
Epoch: [4/50]	 Seen Samples: [57088/714500]	Train Loss: 8741.651914588005	Time: 0:01:10.930643: : 4it [04:47, 71.45s/it]
Epoch: [4/50]	 Seen Samples: [57088/714500]	Train Loss: 8741.651914588005	Time: 0:01:10.930643: : 5it [05:58, 71.29s/it]
Epoch: [5/50]	 Seen Samples: [71360/714500]	Train Loss: 8680.047987317825	Time: 0:01:11.024915: : 5it [05:58, 71.29s/it]
Epoch: [5/50]	 Seen Samples: [71360/714500]	Train Loss: 8680.047987317825	Time: 0:01:11.024915: : 6it [07:09, 71.16s/it]
Epoch: [6/50]	 Seen Samples: [85632/714500]	Train Loss: 8635.337962881867	Time: 0:01:10.887522: : 6it [07:09, 71.16s/it]
Epoch: [6/50]	 Seen Samples: [85632/714500]	Train Loss: 8635.337962881867	Time: 0:01:10.887522: : 7it [08:20, 71.00s/it]
Epoch: [7/50]	 Seen Samples: [99904/714500]	Train Loss: 8601.349182402606	Time: 0:01:10.671490: : 7it [08:20, 71.00s/it]
Epoch: [7/50]	 Seen Samples: [99904/714500]	Train Loss: 8601.349182402606	Time: 0:01:10.671490: : 8it [09:31, 70.99s/it]
Epoch: [8/50]	 Seen Samples: [114176/714500]	Train Loss: 8578.084052252663	Time: 0:01:10.970049: : 8it [09:31, 70.99s/it]
Epoch: [8/50]	 Seen Samples: [114176/714500]	Train Loss: 8578.084052252663	Time: 0:01:10.970049: : 9it [10:42, 70.99s/it]
Epoch: [9/50]	 Seen Samples: [128448/714500]	Train Loss: 8561.576180633409	Time: 0:01:11.001194: : 9it [10:42, 70.99s/it]
