
0it [00:00, ?it/s]
1it [01:19, 79.54s/it]
Epoch: [1/50]	 Seen Samples: [32640/1633050]	Train Loss: 935.0567565917969	Time: 0:01:19.537860: : 1it [01:19, 79.54s/it]
Epoch: [1/50]	 Seen Samples: [32640/1633050]	Train Loss: 935.0567565917969	Time: 0:01:19.537860: : 2it [02:36, 78.31s/it]
Epoch: [2/50]	 Seen Samples: [65280/1633050]	Train Loss: 915.7348204369639	Time: 0:01:17.455395: : 2it [02:36, 78.31s/it]
Epoch: [2/50]	 Seen Samples: [65280/1633050]	Train Loss: 915.7348204369639	Time: 0:01:17.455395: : 3it [03:54, 77.94s/it]
Epoch: [3/50]	 Seen Samples: [97920/1633050]	Train Loss: 910.6882569556143	Time: 0:01:17.498642: : 3it [03:54, 77.94s/it]
Epoch: [3/50]	 Seen Samples: [97920/1633050]	Train Loss: 910.6882569556143	Time: 0:01:17.498642: : 4it [05:12, 77.86s/it]
Epoch: [4/50]	 Seen Samples: [130560/1633050]	Train Loss: 907.5343124090457	Time: 0:01:17.746121: : 4it [05:12, 77.86s/it]
Epoch: [4/50]	 Seen Samples: [130560/1633050]	Train Loss: 907.5343124090457	Time: 0:01:17.746121: : 5it [06:30, 77.96s/it]
Epoch: [5/50]	 Seen Samples: [163200/1633050]	Train Loss: 905.9834153119256	Time: 0:01:18.138194: : 5it [06:30, 77.96s/it]
Epoch: [5/50]	 Seen Samples: [163200/1633050]	Train Loss: 905.9834153119256	Time: 0:01:18.138194: : 6it [07:48, 78.01s/it]
Epoch: [6/50]	 Seen Samples: [195840/1633050]	Train Loss: 904.358952181947	Time: 0:01:18.113041: : 6it [07:48, 78.01s/it] 
Epoch: [6/50]	 Seen Samples: [195840/1633050]	Train Loss: 904.358952181947	Time: 0:01:18.113041: : 7it [09:06, 78.00s/it]
Epoch: [7/50]	 Seen Samples: [228480/1633050]	Train Loss: 903.7998594396255	Time: 0:01:17.963424: : 7it [09:06, 78.00s/it]
Epoch: [7/50]	 Seen Samples: [228480/1633050]	Train Loss: 903.7998594396255	Time: 0:01:17.963424: : 8it [10:24, 78.02s/it]
Epoch: [8/50]	 Seen Samples: [261120/1633050]	Train Loss: 903.8602466059666	Time: 0:01:18.073031: : 8it [10:24, 78.02s/it]
Epoch: [8/50]	 Seen Samples: [261120/1633050]	Train Loss: 903.8602466059666	Time: 0:01:18.073031: : 9it [11:42, 78.06s/it]
Epoch: [9/50]	 Seen Samples: [293760/1633050]	Train Loss: 903.7715214748008	Time: 0:01:18.139285: : 9it [11:42, 78.06s/it]
Epoch: [9/50]	 Seen Samples: [293760/1633050]	Train Loss: 903.7715214748008	Time: 0:01:18.139285: : 10it [13:00, 78.11s/it]
Epoch: [10/50]	 Seen Samples: [326400/1633050]	Train Loss: 903.4433305328968	Time: 0:01:18.229283: : 10it [13:00, 78.11s/it]
Epoch: [10/50]	 Seen Samples: [326400/1633050]	Train Loss: 903.4433305328968	Time: 0:01:18.229283: : 11it [14:19, 78.17s/it]
Epoch: [11/50]	 Seen Samples: [359040/1633050]	Train Loss: 902.1145821365656	Time: 0:01:18.299042: : 11it [14:19, 78.17s/it]
Epoch: [11/50]	 Seen Samples: [359040/1633050]	Train Loss: 902.1145821365656	Time: 0:01:18.299042: : 12it [15:37, 78.24s/it]
Epoch: [12/50]	 Seen Samples: [391680/1633050]	Train Loss: 902.1020884794348	Time: 0:01:18.408912: : 12it [15:37, 78.24s/it]
Epoch: [12/50]	 Seen Samples: [391680/1633050]	Train Loss: 902.1020884794348	Time: 0:01:18.408912: : 13it [16:56, 78.31s/it]
Epoch: [13/50]	 Seen Samples: [424320/1633050]	Train Loss: 901.3194748822381	Time: 0:01:18.467457: : 13it [16:56, 78.31s/it]
Epoch: [13/50]	 Seen Samples: [424320/1633050]	Train Loss: 901.3194748822381	Time: 0:01:18.467457: : 14it [18:14, 78.28s/it]
Epoch: [14/50]	 Seen Samples: [456960/1633050]	Train Loss: 901.4255308861826	Time: 0:01:18.206923: : 14it [18:14, 78.28s/it]
Epoch: [14/50]	 Seen Samples: [456960/1633050]	Train Loss: 901.4255308861826	Time: 0:01:18.206923: : 15it [19:32, 78.32s/it]
Epoch: [15/50]	 Seen Samples: [489600/1633050]	Train Loss: 902.1012004777497	Time: 0:01:18.402634: : 15it [19:32, 78.32s/it]
Epoch: [15/50]	 Seen Samples: [489600/1633050]	Train Loss: 902.1012004777497	Time: 0:01:18.402634: : 16it [20:51, 78.42s/it]
Epoch: [16/50]	 Seen Samples: [522240/1633050]	Train Loss: 900.780352304496	Time: 0:01:18.674246: : 16it [20:51, 78.42s/it] 
Epoch: [16/50]	 Seen Samples: [522240/1633050]	Train Loss: 900.780352304496	Time: 0:01:18.674246: : 17it [22:09, 78.43s/it]
Epoch: [17/50]	 Seen Samples: [554880/1633050]	Train Loss: 901.2785533231847	Time: 0:01:18.454034: : 17it [22:09, 78.43s/it]
Epoch: [17/50]	 Seen Samples: [554880/1633050]	Train Loss: 901.2785533231847	Time: 0:01:18.454034: : 18it [23:28, 78.62s/it]
Epoch: [18/50]	 Seen Samples: [587520/1633050]	Train Loss: 901.3361439424402	Time: 0:01:19.046023: : 18it [23:28, 78.62s/it]
Epoch: [18/50]	 Seen Samples: [587520/1633050]	Train Loss: 901.3361439424402	Time: 0:01:19.046023: : 19it [24:47, 78.62s/it]
Epoch: [19/50]	 Seen Samples: [620160/1633050]	Train Loss: 901.3006286621094	Time: 0:01:18.608562: : 19it [24:47, 78.62s/it]
Epoch: [19/50]	 Seen Samples: [620160/1633050]	Train Loss: 901.3006286621094	Time: 0:01:18.608562: : 20it [26:06, 78.81s/it]
Epoch: [20/50]	 Seen Samples: [652800/1633050]	Train Loss: 901.2795832615273	Time: 0:01:19.255176: : 20it [26:06, 78.81s/it]
Epoch: [20/50]	 Seen Samples: [652800/1633050]	Train Loss: 901.2795832615273	Time: 0:01:19.255176: : 21it [27:26, 79.06s/it]
Epoch: [21/50]	 Seen Samples: [685440/1633050]	Train Loss: 900.2848119997511	Time: 0:01:19.662560: : 21it [27:26, 79.06s/it]
Epoch: [21/50]	 Seen Samples: [685440/1633050]	Train Loss: 900.2848119997511	Time: 0:01:19.662560: : 22it [28:45, 79.03s/it]
Epoch: [22/50]	 Seen Samples: [718080/1633050]	Train Loss: 901.1914645924288	Time: 0:01:18.939090: : 22it [28:45, 79.03s/it]
Epoch: [22/50]	 Seen Samples: [718080/1633050]	Train Loss: 901.1914645924288	Time: 0:01:18.939090: : 23it [30:04, 79.03s/it]
Epoch: [23/50]	 Seen Samples: [750720/1633050]	Train Loss: 898.8596737132353	Time: 0:01:19.041461: : 23it [30:04, 79.03s/it]
Epoch: [23/50]	 Seen Samples: [750720/1633050]	Train Loss: 898.8596737132353	Time: 0:01:19.041461: : 24it [31:23, 79.02s/it]
Epoch: [24/50]	 Seen Samples: [783360/1633050]	Train Loss: 900.1208467969708	Time: 0:01:18.993646: : 24it [31:23, 79.02s/it]
Epoch: [24/50]	 Seen Samples: [783360/1633050]	Train Loss: 900.1208467969708	Time: 0:01:18.993646: : 25it [32:42, 79.18s/it]
Epoch: [25/50]	 Seen Samples: [816000/1633050]	Train Loss: 900.2677298751532	Time: 0:01:19.560800: : 25it [32:42, 79.18s/it]
Epoch: [25/50]	 Seen Samples: [816000/1633050]	Train Loss: 900.2677298751532	Time: 0:01:19.560800: : 26it [34:01, 79.10s/it]
Epoch: [26/50]	 Seen Samples: [848640/1633050]	Train Loss: 899.4326396867341	Time: 0:01:18.920280: : 26it [34:01, 79.10s/it]
Epoch: [26/50]	 Seen Samples: [848640/1633050]	Train Loss: 899.4326396867341	Time: 0:01:18.920280: : 27it [35:20, 79.10s/it]
Epoch: [27/50]	 Seen Samples: [881280/1633050]	Train Loss: 899.6239072313496	Time: 0:01:19.095870: : 27it [35:20, 79.10s/it]
Epoch: [27/50]	 Seen Samples: [881280/1633050]	Train Loss: 899.6239072313496	Time: 0:01:19.095870: : 28it [36:39, 79.02s/it]
Epoch: [28/50]	 Seen Samples: [913920/1633050]	Train Loss: 900.0949247472427	Time: 0:01:18.843323: : 28it [36:39, 79.02s/it]
Epoch: [28/50]	 Seen Samples: [913920/1633050]	Train Loss: 900.0949247472427	Time: 0:01:18.843323: : 29it [37:59, 79.15s/it]
Epoch: [29/50]	 Seen Samples: [946560/1633050]	Train Loss: 899.0463090485217	Time: 0:01:19.453020: : 29it [37:59, 79.15s/it]
Epoch: [29/50]	 Seen Samples: [946560/1633050]	Train Loss: 899.0463090485217	Time: 0:01:19.453020: : 30it [39:18, 79.12s/it]
Epoch: [30/50]	 Seen Samples: [979200/1633050]	Train Loss: 898.0366165460325	Time: 0:01:19.054919: : 30it [39:18, 79.12s/it]
