
0it [00:00, ?it/s]
1it [01:20, 80.02s/it]
Epoch: [1/50]	 Seen Samples: [32640/1633050]	Train Loss: 996.4170754825368	Time: 0:01:20.023197: : 1it [01:20, 80.02s/it]
Epoch: [1/50]	 Seen Samples: [32640/1633050]	Train Loss: 996.4170754825368	Time: 0:01:20.023197: : 2it [02:39, 79.44s/it]
Epoch: [2/50]	 Seen Samples: [65280/1633050]	Train Loss: 943.4217587938496	Time: 0:01:19.032714: : 2it [02:39, 79.44s/it]
Epoch: [2/50]	 Seen Samples: [65280/1633050]	Train Loss: 943.4217587938496	Time: 0:01:19.032714: : 3it [03:57, 79.11s/it]
Epoch: [3/50]	 Seen Samples: [97920/1633050]	Train Loss: 928.9532228956035	Time: 0:01:18.710775: : 3it [03:57, 79.11s/it]
Epoch: [3/50]	 Seen Samples: [97920/1633050]	Train Loss: 928.9532228956035	Time: 0:01:18.710775: : 4it [05:16, 78.94s/it]
Epoch: [4/50]	 Seen Samples: [130560/1633050]	Train Loss: 920.6116185805377	Time: 0:01:18.691327: : 4it [05:16, 78.94s/it]
Epoch: [4/50]	 Seen Samples: [130560/1633050]	Train Loss: 920.6116185805377	Time: 0:01:18.691327: : 5it [06:35, 78.82s/it]
Epoch: [5/50]	 Seen Samples: [163200/1633050]	Train Loss: 912.731739358341	Time: 0:01:18.607818: : 5it [06:35, 78.82s/it] 
Epoch: [5/50]	 Seen Samples: [163200/1633050]	Train Loss: 912.731739358341	Time: 0:01:18.607818: : 6it [07:53, 78.82s/it]
Epoch: [6/50]	 Seen Samples: [195840/1633050]	Train Loss: 907.6006651635264	Time: 0:01:18.816131: : 6it [07:53, 78.82s/it]
Epoch: [6/50]	 Seen Samples: [195840/1633050]	Train Loss: 907.6006651635264	Time: 0:01:18.816131: : 7it [09:12, 78.71s/it]
Epoch: [7/50]	 Seen Samples: [228480/1633050]	Train Loss: 904.2455422794118	Time: 0:01:18.478924: : 7it [09:12, 78.71s/it]
Epoch: [7/50]	 Seen Samples: [228480/1633050]	Train Loss: 904.2455422794118	Time: 0:01:18.478924: : 8it [10:30, 78.63s/it]
