
0it [00:00, ?it/s]
1it [01:12, 72.04s/it]
Epoch: [1/50]	 Seen Samples: [14272/714500]	Train Loss: 9248.645855959221	Time: 0:01:12.043484: : 1it [01:12, 72.04s/it]
Epoch: [1/50]	 Seen Samples: [14272/714500]	Train Loss: 9248.645855959221	Time: 0:01:12.043484: : 2it [02:22, 71.00s/it]
Epoch: [2/50]	 Seen Samples: [28544/714500]	Train Loss: 8937.333986564601	Time: 0:01:10.270446: : 2it [02:22, 71.00s/it]
Epoch: [2/50]	 Seen Samples: [28544/714500]	Train Loss: 8937.333986564601	Time: 0:01:10.270446: : 3it [03:32, 70.52s/it]
Epoch: [3/50]	 Seen Samples: [42816/714500]	Train Loss: 8800.71244613579	Time: 0:01:09.944467: : 3it [03:32, 70.52s/it] 
Epoch: [3/50]	 Seen Samples: [42816/714500]	Train Loss: 8800.71244613579	Time: 0:01:09.944467: : 4it [04:42, 70.26s/it]
Epoch: [4/50]	 Seen Samples: [57088/714500]	Train Loss: 8716.899166637471	Time: 0:01:09.856923: : 4it [04:42, 70.26s/it]
Epoch: [4/50]	 Seen Samples: [57088/714500]	Train Loss: 8716.899166637471	Time: 0:01:09.856923: : 5it [05:52, 70.18s/it]
Epoch: [5/50]	 Seen Samples: [71360/714500]	Train Loss: 8661.122523560118	Time: 0:01:10.032828: : 5it [05:52, 70.18s/it]
Epoch: [5/50]	 Seen Samples: [71360/714500]	Train Loss: 8661.122523560118	Time: 0:01:10.032828: : 6it [07:02, 70.10s/it]
Epoch: [6/50]	 Seen Samples: [85632/714500]	Train Loss: 8639.128468329596	Time: 0:01:09.941722: : 6it [07:02, 70.10s/it]
Epoch: [6/50]	 Seen Samples: [85632/714500]	Train Loss: 8639.128468329596	Time: 0:01:09.941722: : 7it [08:12, 70.15s/it]
Epoch: [7/50]	 Seen Samples: [99904/714500]	Train Loss: 8605.968298941983	Time: 0:01:10.247122: : 7it [08:12, 70.15s/it]
Epoch: [7/50]	 Seen Samples: [99904/714500]	Train Loss: 8605.968298941983	Time: 0:01:10.247122: : 8it [09:22, 70.10s/it]
Epoch: [8/50]	 Seen Samples: [114176/714500]	Train Loss: 8591.228837496497	Time: 0:01:10.003643: : 8it [09:22, 70.10s/it]
Epoch: [8/50]	 Seen Samples: [114176/714500]	Train Loss: 8591.228837496497	Time: 0:01:10.003643: : 9it [10:32, 70.04s/it]
Epoch: [9/50]	 Seen Samples: [128448/714500]	Train Loss: 8568.583154515834	Time: 0:01:09.917196: : 9it [10:32, 70.04s/it]
Epoch: [9/50]	 Seen Samples: [128448/714500]	Train Loss: 8568.583154515834	Time: 0:01:09.917196: : 10it [11:42, 70.19s/it]
Epoch: [10/50]	 Seen Samples: [142720/714500]	Train Loss: 8556.31610408492	Time: 0:01:10.526323: : 10it [11:42, 70.19s/it]
Epoch: [10/50]	 Seen Samples: [142720/714500]	Train Loss: 8556.31610408492	Time: 0:01:10.526323: : 11it [12:53, 70.36s/it]
Epoch: [11/50]	 Seen Samples: [156992/714500]	Train Loss: 8549.527790428812	Time: 0:01:10.727457: : 11it [12:53, 70.36s/it]
Epoch: [11/50]	 Seen Samples: [156992/714500]	Train Loss: 8549.527790428812	Time: 0:01:10.727457: : 12it [14:04, 70.56s/it]
Epoch: [12/50]	 Seen Samples: [171264/714500]	Train Loss: 8539.674524418442	Time: 0:01:11.007858: : 12it [14:04, 70.56s/it]
Epoch: [12/50]	 Seen Samples: [171264/714500]	Train Loss: 8539.674524418442	Time: 0:01:11.007858: : 13it [15:15, 70.82s/it]
Epoch: [13/50]	 Seen Samples: [185536/714500]	Train Loss: 8536.378148647702	Time: 0:01:11.444752: : 13it [15:15, 70.82s/it]
Epoch: [13/50]	 Seen Samples: [185536/714500]	Train Loss: 8536.378148647702	Time: 0:01:11.444752: : 14it [16:26, 70.85s/it]
Epoch: [14/50]	 Seen Samples: [199808/714500]	Train Loss: 8534.52243904148	Time: 0:01:10.903439: : 14it [16:26, 70.85s/it] 
Epoch: [14/50]	 Seen Samples: [199808/714500]	Train Loss: 8534.52243904148	Time: 0:01:10.903439: : 15it [17:37, 70.93s/it]
Epoch: [15/50]	 Seen Samples: [214080/714500]	Train Loss: 8530.079241697029	Time: 0:01:11.103317: : 15it [17:37, 70.93s/it]
Epoch: [15/50]	 Seen Samples: [214080/714500]	Train Loss: 8530.079241697029	Time: 0:01:11.103317: : 16it [18:48, 70.95s/it]
Epoch: [16/50]	 Seen Samples: [228352/714500]	Train Loss: 8520.4497595817	Time: 0:01:10.993923: : 16it [18:48, 70.95s/it]  
Epoch: [16/50]	 Seen Samples: [228352/714500]	Train Loss: 8520.4497595817	Time: 0:01:10.993923: : 17it [19:59, 70.93s/it]
Epoch: [17/50]	 Seen Samples: [242624/714500]	Train Loss: 8520.658910366452	Time: 0:01:10.882196: : 17it [19:59, 70.93s/it]
Epoch: [17/50]	 Seen Samples: [242624/714500]	Train Loss: 8520.658910366452	Time: 0:01:10.882196: : 18it [21:10, 70.89s/it]
Epoch: [18/50]	 Seen Samples: [256896/714500]	Train Loss: 8518.786036470012	Time: 0:01:10.807455: : 18it [21:10, 70.89s/it]
Epoch: [18/50]	 Seen Samples: [256896/714500]	Train Loss: 8518.786036470012	Time: 0:01:10.807455: : 19it [22:22, 71.28s/it]
Epoch: [19/50]	 Seen Samples: [271168/714500]	Train Loss: 8509.4061427095	Time: 0:01:12.173927: : 19it [22:22, 71.28s/it]  
Epoch: [19/50]	 Seen Samples: [271168/714500]	Train Loss: 8509.4061427095	Time: 0:01:12.173927: : 20it [23:34, 71.45s/it]
Epoch: [20/50]	 Seen Samples: [285440/714500]	Train Loss: 8512.39428163537	Time: 0:01:11.867929: : 20it [23:34, 71.45s/it]
Epoch: [20/50]	 Seen Samples: [285440/714500]	Train Loss: 8512.39428163537	Time: 0:01:11.867929: : 21it [24:46, 71.41s/it]
Epoch: [21/50]	 Seen Samples: [299712/714500]	Train Loss: 8507.993980784053	Time: 0:01:11.295016: : 21it [24:46, 71.41s/it]
Epoch: [21/50]	 Seen Samples: [299712/714500]	Train Loss: 8507.993980784053	Time: 0:01:11.295016: : 22it [25:57, 71.55s/it]
Epoch: [22/50]	 Seen Samples: [313984/714500]	Train Loss: 8508.563579473795	Time: 0:01:11.871970: : 22it [25:57, 71.55s/it]
Epoch: [22/50]	 Seen Samples: [313984/714500]	Train Loss: 8508.563579473795	Time: 0:01:11.871970: : 23it [27:08, 71.38s/it]
Epoch: [23/50]	 Seen Samples: [328256/714500]	Train Loss: 8505.046715159053	Time: 0:01:10.985695: : 23it [27:08, 71.38s/it]
Epoch: [23/50]	 Seen Samples: [328256/714500]	Train Loss: 8505.046715159053	Time: 0:01:10.985695: : 24it [28:19, 71.21s/it]
Epoch: [24/50]	 Seen Samples: [342528/714500]	Train Loss: 8504.669827722113	Time: 0:01:10.827082: : 24it [28:19, 71.21s/it]
Epoch: [24/50]	 Seen Samples: [342528/714500]	Train Loss: 8504.669827722113	Time: 0:01:10.827082: : 25it [29:30, 71.10s/it]
Epoch: [25/50]	 Seen Samples: [356800/714500]	Train Loss: 8498.2594393743	Time: 0:01:10.827685: : 25it [29:30, 71.10s/it]  
Epoch: [25/50]	 Seen Samples: [356800/714500]	Train Loss: 8498.2594393743	Time: 0:01:10.827685: : 26it [30:41, 70.99s/it]
Epoch: [26/50]	 Seen Samples: [371072/714500]	Train Loss: 8497.182829578896	Time: 0:01:10.725244: : 26it [30:41, 70.99s/it]
Epoch: [26/50]	 Seen Samples: [371072/714500]	Train Loss: 8497.182829578896	Time: 0:01:10.725244: : 27it [31:51, 70.90s/it]
Epoch: [27/50]	 Seen Samples: [385344/714500]	Train Loss: 8496.516842418721	Time: 0:01:10.703947: : 27it [31:51, 70.90s/it]
Epoch: [27/50]	 Seen Samples: [385344/714500]	Train Loss: 8496.516842418721	Time: 0:01:10.703947: : 28it [33:04, 71.36s/it]
Epoch: [28/50]	 Seen Samples: [399616/714500]	Train Loss: 8500.409569436659	Time: 0:01:12.441557: : 28it [33:04, 71.36s/it]
Epoch: [28/50]	 Seen Samples: [399616/714500]	Train Loss: 8500.409569436659	Time: 0:01:12.441557: : 29it [34:15, 71.24s/it]
Epoch: [29/50]	 Seen Samples: [413888/714500]	Train Loss: 8493.658424274803	Time: 0:01:10.964732: : 29it [34:15, 71.24s/it]
Epoch: [29/50]	 Seen Samples: [413888/714500]	Train Loss: 8493.658424274803	Time: 0:01:10.964732: : 30it [35:26, 71.15s/it]
Epoch: [30/50]	 Seen Samples: [428160/714500]	Train Loss: 8491.306642814601	Time: 0:01:10.921758: : 30it [35:26, 71.15s/it]
Epoch: [30/50]	 Seen Samples: [428160/714500]	Train Loss: 8491.306642814601	Time: 0:01:10.921758: : 31it [36:36, 70.98s/it]
Epoch: [31/50]	 Seen Samples: [442432/714500]	Train Loss: 8492.257604487808	Time: 0:01:10.603876: : 31it [36:36, 70.98s/it]
