
0it [00:00, ?it/s]
1it [01:11, 71.64s/it]
Epoch: [1/50]	 Seen Samples: [14272/714500]	Train Loss: 9138.256503117993	Time: 0:01:11.638335: : 1it [01:11, 71.64s/it]
Epoch: [1/50]	 Seen Samples: [14272/714500]	Train Loss: 9138.256503117993	Time: 0:01:11.638335: : 2it [02:21, 70.57s/it]
Epoch: [2/50]	 Seen Samples: [28544/714500]	Train Loss: 8962.613449849356	Time: 0:01:09.815352: : 2it [02:21, 70.57s/it]
Epoch: [2/50]	 Seen Samples: [28544/714500]	Train Loss: 8962.613449849356	Time: 0:01:09.815352: : 3it [03:30, 69.92s/it]
Epoch: [3/50]	 Seen Samples: [42816/714500]	Train Loss: 8925.0077052095	Time: 0:01:09.141042: : 3it [03:30, 69.92s/it]  
Epoch: [3/50]	 Seen Samples: [42816/714500]	Train Loss: 8925.0077052095	Time: 0:01:09.141042: : 4it [04:39, 69.67s/it]
Epoch: [4/50]	 Seen Samples: [57088/714500]	Train Loss: 8898.260267043863	Time: 0:01:09.292747: : 4it [04:39, 69.67s/it]
Epoch: [4/50]	 Seen Samples: [57088/714500]	Train Loss: 8898.260267043863	Time: 0:01:09.292747: : 5it [05:49, 69.66s/it]
Epoch: [5/50]	 Seen Samples: [71360/714500]	Train Loss: 8888.127183033212	Time: 0:01:09.626867: : 5it [05:49, 69.66s/it]
Epoch: [5/50]	 Seen Samples: [71360/714500]	Train Loss: 8888.127183033212	Time: 0:01:09.626867: : 6it [07:00, 69.96s/it]
Epoch: [6/50]	 Seen Samples: [85632/714500]	Train Loss: 8871.331919580298	Time: 0:01:10.557734: : 6it [07:00, 69.96s/it]
Epoch: [6/50]	 Seen Samples: [85632/714500]	Train Loss: 8871.331919580298	Time: 0:01:10.557734: : 7it [08:09, 69.75s/it]
Epoch: [7/50]	 Seen Samples: [99904/714500]	Train Loss: 8866.967460324411	Time: 0:01:09.298460: : 7it [08:09, 69.75s/it]
Epoch: [7/50]	 Seen Samples: [99904/714500]	Train Loss: 8866.967460324411	Time: 0:01:09.298460: : 8it [09:20, 70.06s/it]
Epoch: [8/50]	 Seen Samples: [114176/714500]	Train Loss: 8857.878731081839	Time: 0:01:10.717869: : 8it [09:20, 70.06s/it]
Epoch: [8/50]	 Seen Samples: [114176/714500]	Train Loss: 8857.878731081839	Time: 0:01:10.717869: : 9it [10:29, 70.01s/it]
Epoch: [9/50]	 Seen Samples: [128448/714500]	Train Loss: 8848.465500630606	Time: 0:01:09.896642: : 9it [10:29, 70.01s/it]
Epoch: [9/50]	 Seen Samples: [128448/714500]	Train Loss: 8848.465500630606	Time: 0:01:09.896642: : 10it [11:41, 70.35s/it]
Epoch: [10/50]	 Seen Samples: [142720/714500]	Train Loss: 8853.839848129204	Time: 0:01:11.123205: : 10it [11:41, 70.35s/it]
Epoch: [10/50]	 Seen Samples: [142720/714500]	Train Loss: 8853.839848129204	Time: 0:01:11.123205: : 11it [12:54, 71.34s/it]
Epoch: [11/50]	 Seen Samples: [156992/714500]	Train Loss: 8849.084888680633	Time: 0:01:13.584114: : 11it [12:54, 71.34s/it]
Epoch: [11/50]	 Seen Samples: [156992/714500]	Train Loss: 8849.084888680633	Time: 0:01:13.584114: : 12it [14:04, 70.94s/it]
Epoch: [12/50]	 Seen Samples: [171264/714500]	Train Loss: 8845.934727963846	Time: 0:01:10.012199: : 12it [14:04, 70.94s/it]
Epoch: [12/50]	 Seen Samples: [171264/714500]	Train Loss: 8845.934727963846	Time: 0:01:10.012199: : 13it [15:14, 70.48s/it]
Epoch: [13/50]	 Seen Samples: [185536/714500]	Train Loss: 8849.239910313901	Time: 0:01:09.417529: : 13it [15:14, 70.48s/it]
Epoch: [13/50]	 Seen Samples: [185536/714500]	Train Loss: 8849.239910313901	Time: 0:01:09.417529: : 14it [16:23, 70.17s/it]
Epoch: [14/50]	 Seen Samples: [199808/714500]	Train Loss: 8849.374737247757	Time: 0:01:09.452549: : 14it [16:23, 70.17s/it]
Epoch: [14/50]	 Seen Samples: [199808/714500]	Train Loss: 8849.374737247757	Time: 0:01:09.452549: : 15it [17:32, 69.91s/it]
Epoch: [15/50]	 Seen Samples: [214080/714500]	Train Loss: 8842.464773682736	Time: 0:01:09.309791: : 15it [17:32, 69.91s/it]
Epoch: [15/50]	 Seen Samples: [214080/714500]	Train Loss: 8842.464773682736	Time: 0:01:09.309791: : 16it [18:42, 69.73s/it]
Epoch: [16/50]	 Seen Samples: [228352/714500]	Train Loss: 8837.270505622899	Time: 0:01:09.304066: : 16it [18:42, 69.73s/it]
Epoch: [16/50]	 Seen Samples: [228352/714500]	Train Loss: 8837.270505622899	Time: 0:01:09.304066: : 17it [19:51, 69.47s/it]
Epoch: [17/50]	 Seen Samples: [242624/714500]	Train Loss: 8844.285845974635	Time: 0:01:08.873272: : 17it [19:51, 69.47s/it]
Epoch: [17/50]	 Seen Samples: [242624/714500]	Train Loss: 8844.285845974635	Time: 0:01:08.873272: : 18it [21:00, 69.43s/it]
Epoch: [18/50]	 Seen Samples: [256896/714500]	Train Loss: 8843.88050246987	Time: 0:01:09.336443: : 18it [21:00, 69.43s/it] 
Epoch: [18/50]	 Seen Samples: [256896/714500]	Train Loss: 8843.88050246987	Time: 0:01:09.336443: : 19it [22:09, 69.37s/it]
Epoch: [19/50]	 Seen Samples: [271168/714500]	Train Loss: 8846.268125525505	Time: 0:01:09.233158: : 19it [22:09, 69.37s/it]
Epoch: [19/50]	 Seen Samples: [271168/714500]	Train Loss: 8846.268125525505	Time: 0:01:09.233158: : 20it [23:18, 69.14s/it]
Epoch: [20/50]	 Seen Samples: [285440/714500]	Train Loss: 8846.061514679091	Time: 0:01:08.595501: : 20it [23:18, 69.14s/it]
Epoch: [20/50]	 Seen Samples: [285440/714500]	Train Loss: 8846.061514679091	Time: 0:01:08.595501: : 21it [24:27, 69.17s/it]
Epoch: [21/50]	 Seen Samples: [299712/714500]	Train Loss: 8844.579130027327	Time: 0:01:09.257989: : 21it [24:27, 69.17s/it]
Epoch: [21/50]	 Seen Samples: [299712/714500]	Train Loss: 8844.579130027327	Time: 0:01:09.257989: : 22it [25:36, 69.25s/it]
Epoch: [22/50]	 Seen Samples: [313984/714500]	Train Loss: 8837.222485461043	Time: 0:01:09.411721: : 22it [25:36, 69.25s/it]
Epoch: [22/50]	 Seen Samples: [313984/714500]	Train Loss: 8837.222485461043	Time: 0:01:09.411721: : 23it [26:47, 69.67s/it]
Epoch: [23/50]	 Seen Samples: [328256/714500]	Train Loss: 8842.704335849916	Time: 0:01:10.668810: : 23it [26:47, 69.67s/it]
Epoch: [23/50]	 Seen Samples: [328256/714500]	Train Loss: 8842.704335849916	Time: 0:01:10.668810: : 24it [27:58, 70.05s/it]
Epoch: [24/50]	 Seen Samples: [342528/714500]	Train Loss: 8836.204865733604	Time: 0:01:10.938800: : 24it [27:58, 70.05s/it]
