
0it [00:00, ?it/s]
1it [01:24, 84.01s/it]
Epoch: [1/50]	 Seen Samples: [32640/1633050]	Train Loss: 1054.4004492666206	Time: 0:01:24.012522: : 1it [01:24, 84.01s/it]
Epoch: [1/50]	 Seen Samples: [32640/1633050]	Train Loss: 1054.4004492666206	Time: 0:01:24.012522: : 2it [02:55, 88.18s/it]
Epoch: [2/50]	 Seen Samples: [65280/1633050]	Train Loss: 991.6584717993643	Time: 0:01:31.095491: : 2it [02:55, 88.18s/it] 
Epoch: [2/50]	 Seen Samples: [65280/1633050]	Train Loss: 991.6584717993643	Time: 0:01:31.095491: : 3it [04:22, 87.87s/it]
Epoch: [3/50]	 Seen Samples: [97920/1633050]	Train Loss: 974.4492673387714	Time: 0:01:27.508533: : 3it [04:22, 87.87s/it]
Epoch: [3/50]	 Seen Samples: [97920/1633050]	Train Loss: 974.4492673387714	Time: 0:01:27.508533: : 4it [05:52, 88.61s/it]
Epoch: [4/50]	 Seen Samples: [130560/1633050]	Train Loss: 964.9615482105928	Time: 0:01:29.744433: : 4it [05:52, 88.61s/it]
Epoch: [4/50]	 Seen Samples: [130560/1633050]	Train Loss: 964.9615482105928	Time: 0:01:29.744433: : 5it [07:16, 87.17s/it]
Epoch: [5/50]	 Seen Samples: [163200/1633050]	Train Loss: 955.2589941884958	Time: 0:01:24.621267: : 5it [07:16, 87.17s/it]
Epoch: [5/50]	 Seen Samples: [163200/1633050]	Train Loss: 955.2589941884958	Time: 0:01:24.621267: : 6it [08:47, 88.27s/it]
Epoch: [6/50]	 Seen Samples: [195840/1633050]	Train Loss: 948.1461347991345	Time: 0:01:30.392551: : 6it [08:47, 88.27s/it]
Epoch: [6/50]	 Seen Samples: [195840/1633050]	Train Loss: 948.1461347991345	Time: 0:01:30.392551: : 7it [10:13, 87.45s/it]
Epoch: [7/50]	 Seen Samples: [228480/1633050]	Train Loss: 943.0554107067632	Time: 0:01:25.769540: : 7it [10:13, 87.45s/it]
Epoch: [7/50]	 Seen Samples: [228480/1633050]	Train Loss: 943.0554107067632	Time: 0:01:25.769540: : 8it [11:43, 88.31s/it]
Epoch: [8/50]	 Seen Samples: [261120/1633050]	Train Loss: 938.9792610916437	Time: 0:01:30.135505: : 8it [11:43, 88.31s/it]
Epoch: [8/50]	 Seen Samples: [261120/1633050]	Train Loss: 938.9792610916437	Time: 0:01:30.135505: : 9it [13:09, 87.57s/it]
Epoch: [9/50]	 Seen Samples: [293760/1633050]	Train Loss: 936.254261450674	Time: 0:01:25.940297: : 9it [13:09, 87.57s/it] 
Epoch: [9/50]	 Seen Samples: [293760/1633050]	Train Loss: 936.254261450674	Time: 0:01:25.940297: : 10it [14:36, 87.62s/it]
Epoch: [10/50]	 Seen Samples: [326400/1633050]	Train Loss: 932.9106664321001	Time: 0:01:27.750989: : 10it [14:36, 87.62s/it]
